exp1_adapt_repfit,,,,,,,,,
,,,,,,,,,
,,reproductive fitness,mean of treatment,mean of thl treatment,% change 38 relative to 30 thl,% change 38@38 relative to 30@30,,,
"30oC THLs, ",8,239.1 ± 14.0,,,,,,,
30oC exposure,(5.3 ± 0.7),,239,,,,,,
30oC THLs ,8,228.2 ± 12.5,,30 THLs,,,,,
38oC exposure,(5.3 ± 0.7),,228,199,,,,,
30oC THLs ,8,131.3 ± 15.1,,,,,,,
42oC exposure,(8.4 ± 2.9),,131,,,,,,
38oC THLs ,8,192.3 ± 14.5,,,,,,,
30oC exposure,(5.3 ± 0.7),,192,,,,,,
38oC THLs ,8,227.1 ± 16.6,,38 THLs,,,,,
38oC exposure,(5.6 ± 1.8),,227,207,4,,,,
38oC THLs ,8,203.4 ± 17.2,,,,,,,
42oC exposure,(4.9 ± 1.4),,203,,,55,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
exp2_evovsaclim_surv,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
mean of treatment,mean of thl treatment,% change 38 relative to 30 thl,% change 38@38 relative to 30@30,mean of development treatment ,% change 38 relative to 30 dev,,,,
,30 THLs,,,30 dev,,,,,
0.48,0.44,,,0.7,,,,,
,38 THLs,,,,,,,,
0.92,0.78,77,,,,,,,
,,,,38 dev,,,,,
0.4,,,,0.52,-26,,,,
,,,,,,,,,
0.64,,,33,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
exp2_evovsaclim_testes,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,testes size,mean,mean of thl treatment,% change 38 relative to 30 thl,% change 38@38 relative to 30@30 ,% change 38@38 relative to 38@30 ,,,
8,0.28 ± 0.08,,30 THLs,,,,,,
(4.0 ± 0.0),,0.28,0.25,,,,,,
8,0.20 ± 0.06,,38 THLs,,,,,,
(4.0 ± 0.0),,0.2,0.245,-2,,,,,
8,0.22 ± 0.05 ,,,,,,,,
(4.0 ± 0.0),,0.22,,,,,,,
8,0.29 ± 0.05,,,,,,,,
(4.0 ± 0.0),,0.29,,,4,32,,,
,,,,,,,,,
,,,,,,,,,
exp2_evoaclim_repfit,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,testes size,mean,mean of thl treatment,% change 38 relative to 30 thl,% change 38@38 relative to 30@30 ,% change 38@38 relative to 38@30 ,mean of development treatment ,% change 38 relative to 30 dev
"30oC THLs,",7,101.7 ± 17.2,,30 THLs,,,,30 dev,
30oC develop,(3.7 ± 1.4),,101.7,97.95,,,,138,
"38oC THLs,",8,174.3 ± 18.4,,38 THLs,,,,,
30oC develop,(4.3 ± 1.7),,174.3,138.45,41,,,,
"30oC THLs,",7,94.2 ± 23.9,,,,,,38 dev,
38oC develop,(4.1 ± 1.5),,94.2,,,,,98.4,-29
"38oC THLs,",8,102.6 ± 15.9,,,,,,,
38oC develop,(3.9 ± 1.8),,102.6,,,1,9,,