Regime,Testes_size,Rearing
30.11,1.14,30
30.13,1.044,30
30.15,1.248,30
30.3,1.08,30
30.4,0.912,30
30.6,1.284,30
30.7,1.428,30
30.9,0.972,30
38.11,0.876,30
38.12,0.876,30
38.13,0.768,30
38.14,1.068,30
38.25,0.756,30
38.26,0.576,30
38.27,0.792,30
38.28,0.768,30
30.11,0.864,38
30.13,1.08,38
30.15,0.864,38
30.3,1.068,38
30.4,0.864,38
30.6,0.756,38
30.7,0.804,38
30.9,0.876,38
38.11,1.104,38
38.12,1.068,38
38.13,1.152,38
38.14,0.984,38
38.25,1.284,38
38.26,1.02,38
38.27,1.296,38
38.28,1.2,38
,,