ID,Line,Regime,Heatwave.temp,Rep,Adult.count.10D.1,Adult.count.10D.2,Adult.count.20D
L1 38.1,38.11,38,30,1,155,155,310
L1 38.1,38.11,38,30,2,133,67,200
L1 38.1,38.11,38,30,3,77,40,117
L1 38.1,38.11,38,30,4,154,143,297
L1 38.1,38.11,38,30,5,138,108,246
L1 38.2,38.12,38,30,1,13,11,24
L1 38.2,38.12,38,30,2,137,134,271
L1 38.2,38.12,38,30,3,116,136,252
L1 38.2,38.12,38,30,4,124,127,251
L1 38.2,38.12,38,30,5,111,72,183
L1 38.3,38.13,38,30,1,156,70,226
L1 38.3,38.13,38,30,2,114,106,220
L1 38.3,38.13,38,30,3,91,4,95
L1 38.3,38.13,38,30,4,93,102,195
L1 38.3,38.13,38,30,5,104,120,224
L1 38.4,38.14,38,30,1,101,66,167
L1 38.4,38.14,38,30,2,85,33,118
L1 38.4,38.14,38,30,3,146,132,278
L1 38.4,38.14,38,30,4,140,129,269
L1 38.4,38.14,38,30,5,93,110,203
L2 38.4,38.24,38,30,1,149,130,279
L2 38.4,38.24,38,30,2,171,168,339
L2 38.4,38.24,38,30,3,84,161,245
L2 38.4,38.24,38,30,4,106,108,214
L2 38.4,38.24,38,30,5,29,183,212
L2 38.4,38.24,38,30,6,139,110,249
L2 38.4,38.24,38,30,7,123,66,189
L2 38.6,38.26,38,30,1,83,1,84
L2 38.6,38.26,38,30,2,152,133,285
L2 38.6,38.26,38,30,3,119,146,265
L2 38.6,38.26,38,30,4,113,1,114
L2 38.6,38.26,38,30,5,0,0,0
L2 38.7,38.27,38,30,1,122,0,122
L2 38.7,38.27,38,30,2,165,160,325
L2 38.7,38.27,38,30,3,65,54,119
L2 38.7,38.27,38,30,4,167,5,172
L2 38.7,38.27,38,30,5,64,137,201
L2 38.8,38.28,38,30,1,0,0,0
L2 38.8,38.28,38,30,2,0,0,0
L2 38.8,38.28,38,30,3,121,156,277
L2 38.8,38.28,38,30,4,118,120,238
L2 38.8,38.28,38,30,5,0,0,0
L1 38.1,38.11,38,38,1,8,4,12
L1 38.1,38.11,38,38,2,168,8,176
L1 38.1,38.11,38,38,3,166,167,333
L1 38.1,38.11,38,38,4,110,102,212
L1 38.1,38.11,38,38,5,179,183,362
L1 38.2,38.12,38,38,1,165,169,334
L1 38.2,38.12,38,38,2,140,170,310
L1 38.2,38.12,38,38,3,164,194,358
L1 38.2,38.12,38,38,4,83,74,157
L1 38.2,38.12,38,38,5,0,0,0
L1 38.3,38.13,38,38,1,24,0,24
L1 38.3,38.13,38,38,2,165,178,343
L1 38.3,38.13,38,38,3,135,176,311
L1 38.3,38.13,38,38,4,129,125,254
L1 38.3,38.13,38,38,5,101,117,218
L1 38.4,38.14,38,38,1,175,153,328
L1 38.4,38.14,38,38,2,119,114,233
L1 38.4,38.14,38,38,3,108,137,245
L1 38.4,38.14,38,38,4,123,148,271
L1 38.4,38.14,38,38,5,132,155,287
L2 38.4,38.24,38,38,1,139,148,287
L2 38.4,38.24,38,38,2,0,0,0
L2 38.4,38.24,38,38,3,119,116,235
L2 38.4,38.24,38,38,4,0,0,0
L2 38.4,38.24,38,38,5,0,0,0
L2 38.4,38.24,38,38,6,112,138,250
L2 38.4,38.24,38,38,7,36,170,206
L2 38.4,38.24,38,38,8,0,0,0
L2 38.4,38.24,38,38,9,165,44,209
L2 38.4,38.24,38,38,10,119,105,224
L2 38.6,38.26,38,38,1,145,137,282
L2 38.6,38.26,38,38,2,119,92,211
L2 38.6,38.26,38,38,3,158,149,307
L2 38.6,38.26,38,38,4,181,169,350
L2 38.6,38.26,38,38,5,163,158,321
L2 38.7,38.27,38,38,1,145,118,263
L2 38.7,38.27,38,38,2,120,132,252
L2 38.7,38.27,38,38,3,81,87,168
L2 38.7,38.27,38,38,4,154,162,316
L2 38.7,38.27,38,38,5,158,157,315
L2 38.8,38.28,38,38,1,92,63,155
L2 38.8,38.28,38,38,2,137,25,162
L2 38.8,38.28,38,38,3,152,161,313
L2 38.8,38.28,38,38,4,179,158,337
L2 38.8,38.28,38,38,5,158,131,289
L1 38.1,38.11,38,42,1,118,124,242
L1 38.1,38.11,38,42,2,127,153,280
L1 38.1,38.11,38,42,3,124,114,238
L1 38.1,38.11,38,42,4,134,125,259
L1 38.1,38.11,38,42,5,132,13,145
L1 38.2,38.12,38,42,1,125,82,207
L1 38.2,38.12,38,42,2,189,14,203
L1 38.2,38.12,38,42,3,118,13,131
L1 38.2,38.12,38,42,4,121,51,172
L1 38.2,38.12,38,42,5,90,116,206
L1 38.3,38.13,38,42,1,0,0,0
L1 38.3,38.13,38,42,2,150,64,214
L1 38.3,38.13,38,42,3,171,176,347
L1 38.3,38.13,38,42,4,118,145,263
L1 38.3,38.13,38,42,5,199,106,305
L1 38.4,38.14,38,42,1,124,129,253
L1 38.4,38.14,38,42,2,183,125,308
L1 38.4,38.14,38,42,3,186,155,341
L1 38.4,38.14,38,42,4,161,168,329
L1 38.4,38.14,38,42,5,186,47,233
L1 38.4,38.14,38,42,6,93,157,250
L1 38.4,38.14,38,42,7,152,128,280
L2 38.6,38.26,38,42,1,142,155,297
L2 38.6,38.26,38,42,2,52,92,144
L2 38.6,38.26,38,42,3,148,164,312
L2 38.6,38.26,38,42,4,199,170,369
L2 38.6,38.26,38,42,5,107,133,240
L2 38.7,38.27,38,42,1,64,0,64
L2 38.7,38.27,38,42,2,0,0,0
L2 38.7,38.27,38,42,3,0,0,0
L2 38.7,38.27,38,42,4,109,53,162
L2 38.7,38.27,38,42,5,0,0,0
L2 38.8,38.28,38,42,1,172,33,205
L2 38.8,38.28,38,42,2,107,0,107
L2 38.8,38.28,38,42,3,0,0,0
L2 38.8,38.28,38,42,4,166,200,366
L2 38.8,38.28,38,42,5,56,63,119
L2 38.4,38.24,38,42,1,149,21,170
L2 38.4,38.24,38,42,2,122,49,171
L2 30.3,30.23,30,30,1,121,130,251
L2 30.3,30.23,30,30,2,206,132,338
L2 30.3,30.23,30,30,3,184,91,275
L2 30.3,30.23,30,30,4,196,84,280
L2 30.3,30.23,30,30,5,175,144,319
L2 30.3,30.23,30,30,6,100,63,163
L2 30.3,30.23,30,30,7,139,115,254
L2 30.4,30.24,30,30,1,32,0,32
L2 30.4,30.24,30,30,2,149,71,220
L2 30.4,30.24,30,30,3,173,147,320
L2 30.4,30.24,30,30,4,115,106,221
L2 30.4,30.24,30,30,5,150,141,291
L2 30.6,30.26,30,30,1,162,8,170
L2 30.6,30.26,30,30,2,141,144,285
L2 30.6,30.26,30,30,3,166,189,355
L2 30.6,30.26,30,30,4,143,117,260
L2 30.6,30.26,30,30,5,123,89,212
L2 30.7,30.27,30,30,1,29,2,31
L2 30.7,30.27,30,30,2,154,99,253
L2 30.7,30.27,30,30,3,110,98,208
L2 30.7,30.27,30,30,4,121,138,259
L2 30.7,30.27,30,30,5,165,3,168
L2 30.9,30.29,30,30,1,0,0,0
L2 30.9,30.29,30,30,2,185,130,315
L2 30.9,30.29,30,30,3,104,92,196
L2 30.9,30.29,30,30,4,188,160,348
L2 30.9,30.29,30,30,5,181,166,347
L2 30.11,30.211,30,30,1,144,109,253
L2 30.11,30.211,30,30,2,160,144,304
L2 30.11,30.211,30,30,3,126,139,265
L2 30.11,30.211,30,30,4,171,177,348
L2 30.11,30.211,30,30,5,118,142,260
L2 30.13,30.213,30,30,1,115,106,221
L2 30.13,30.213,30,30,2,186,155,341
L2 30.13,30.213,30,30,3,103,114,217
L2 30.13,30.213,30,30,4,116,21,137
L2 30.13,30.213,30,30,5,106,136,242
L2 30.15,30.215,30,30,1,130,136,266
L2 30.15,30.215,30,30,2,165,121,286
L2 30.15,30.215,30,30,3,98,145,243
L2 30.15,30.215,30,30,4,149,141,290
L2 30.15,30.215,30,30,5,0,0,0
L2 30.3,30.23,30,38,1,127,0,127
L2 30.3,30.23,30,38,2,157,186,343
L2 30.3,30.23,30,38,3,116,112,228
L2 30.3,30.23,30,38,4,109,32,141
L2 30.3,30.23,30,38,5,108,134,242
L2 30.4,30.24,30,38,1,137,174,311
L2 30.4,30.24,30,38,2,153,132,285
L2 30.4,30.24,30,38,3,122,133,255
L2 30.4,30.24,30,38,4,122,121,243
L2 30.4,30.24,30,38,5,138,133,271
L2 30.6,30.26,30,38,1,107,21,128
L2 30.6,30.26,30,38,2,102,93,195
L2 30.6,30.26,30,38,3,164,93,257
L2 30.6,30.26,30,38,4,154,107,261
L2 30.6,30.26,30,38,5,69,9,78
L2 30.7,30.27,30,38,1,103,0,103
L2 30.7,30.27,30,38,2,137,97,234
L2 30.7,30.27,30,38,3,154,166,320
L2 30.7,30.27,30,38,4,79,81,160
L2 30.7,30.27,30,38,5,104,126,230
L2 30.9,30.29,30,38,1,142,146,288
L2 30.9,30.29,30,38,2,146,126,272
L2 30.9,30.29,30,38,3,135,101,236
L2 30.9,30.29,30,38,4,126,113,239
L2 30.9,30.29,30,38,5,165,172,337
L2 30.11,30.211,30,38,1,0,0,0
L2 30.11,30.211,30,38,2,132,163,295
L2 30.11,30.211,30,38,3,180,107,287
L2 30.11,30.211,30,38,4,99,8,107
L2 30.11,30.211,30,38,5,194,160,354
L2 30.13,30.213,30,38,1,134,143,277
L2 30.13,30.213,30,38,2,192,200,392
L2 30.13,30.213,30,38,3,110,56,166
L2 30.13,30.213,30,38,5,111,53,164
L2 30.13,30.213,30,38,6,150,42,192
L2 30.13,30.213,30,38,7,131,19,150
L2 30.13,30.213,30,38,8,111,97,208
L2 30.15,30.215,30,38,1,173,123,296
L2 30.15,30.215,30,38,2,115,112,227
L2 30.15,30.215,30,38,3,128,119,247
L2 30.15,30.215,30,38,4,133,106,239
L2 30.15,30.215,30,38,5,92,109,201
L2 30.3,30.23,30,42,1,135,171,306
L2 30.3,30.23,30,42,2,128,124,252
L2 30.3,30.23,30,42,3,160,178,338
L2 30.3,30.23,30,42,4,105,117,222
L2 30.3,30.23,30,42,5,0,0,0
L2 30.3,30.23,30,42,6,0,0,0
L2 30.3,30.23,30,42,7,25,168,193
L2 30.3,30.23,30,42,8,0,0,0
L2 30.3,30.23,30,42,9,146,162,308
L2 30.3,30.23,30,42,10,136,0,136
L2 30.3,30.23,30,42,11,133,97,230
L2 30.3,30.23,30,42,12,0,0,0
L2 30.3,30.23,30,42,13,138,164,302
L2 30.4,30.24,30,42,1,47,0,47
L2 30.4,30.24,30,42,3,120,134,254
L2 30.4,30.24,30,42,4,0,0,0
L2 30.4,30.24,30,42,5,185,213,398
L2 30.4,30.24,30,42,6,121,117,238
L2 30.4,30.24,30,42,7,136,157,293
L2 30.4,30.24,30,42,8,0,0,0
L2 30.4,30.24,30,42,9,111,0,111
L2 30.6,30.26,30,42,1,40,11,51
L2 30.6,30.26,30,42,2,80,82,162
L2 30.6,30.26,30,42,3,0,0,0
L2 30.6,30.26,30,42,4,0,0,0
L2 30.6,30.26,30,42,5,57,0,57
L2 30.7,30.27,30,42,1,0,0,0
L2 30.7,30.27,30,42,2,62,95,157
L2 30.7,30.27,30,42,3,0,0,0
L2 30.7,30.27,30,42,4,0,0,0
L2 30.7,30.27,30,42,5,15,0,15
L2 30.9,30.29,30,42,1,124,74,198
L2 30.9,30.29,30,42,2,0,0,0
L2 30.9,30.29,30,42,3,0,0,0
L2 30.9,30.29,30,42,5,131,0,131
L2 30.9,30.29,30,42,6,112,198,310
L2 30.9,30.29,30,42,7,136,176,312
L2 30.9,30.29,30,42,8,0,0,0
L2 30.9,30.29,30,42,9,65,0,65
L2 30.9,30.29,30,42,10,129,148,277
L2 30.11,30.211,30,42,1,0,0,0
L2 30.11,30.211,30,42,3,0,0,0
L2 30.11,30.211,30,42,4,0,0,0
L2 30.11,30.211,30,42,5,15,0,15
L2 30.11,30.211,30,42,6,129,92,221
L2 30.11,30.211,30,42,7,0,0,0
L2 30.11,30.211,30,42,8,105,0,105
L2 30.11,30.211,30,42,9,150,31,181
L2 30.11,30.211,30,42,10,168,106,274
L2 30.11,30.211,30,42,11,0,0,0
L2 30.13,30.213,30,42,1,124,13,137
L2 30.13,30.213,30,42,2,0,0,0
L2 30.13,30.213,30,42,3,0,1,1
L2 30.13,30.213,30,42,5,174,26,200
L2 30.13,30.213,30,42,6,129,70,199
L2 30.13,30.213,30,42,7,82,45,127
L2 30.13,30.213,30,42,8,152,47,199
L2 30.13,30.213,30,42,9,0,0,0
L2 30.13,30.213,30,42,10,25,0,25
L2 30.13,30.213,30,42,11,150,141,291
L2 30.13,30.213,30,42,12,114,89,203
L2 30.13,30.215,30,42,13,176,4,180
L2 30.15,30.215,30,42,1,59,0,59
L2 30.15,30.215,30,42,2,73,36,109
L2 30.15,30.215,30,42,3,119,92,211
L2 30.15,30.215,30,42,4,165,174,339
L2 30.15,30.215,30,42,5,172,184,356
